V1	sign	V2
YJL069C	1	YMR093W
YJL069C	1	YLR129W
YJL069C	1	YER127W
YJL069C	1	YKR096W
YLR016C	1	YDL127W
YLR016C	1	YHR152W
YLR016C	1	YLR086W
YLR016C	1	YNL189W
YLR016C	1	YGL174W
YLR016C	1	YLL036C
YLR016C	1	YIR005W
YLR016C	1	YOL001W
YLR016C	1	YBL076C
YOR384W	1	YPL240C
YPR086W	1	YOL051W
YPR086W	1	YNL222W
YPR086W	1	YER148W
YPR086W	1	YDL106C
YPR086W	1	YGL207W
YPR086W	1	YGR186W
YPR086W	1	YBR079C
YPR086W	1	YOR151C
YPR086W	1	YLR418C
YPR086W	1	YDL140C
YPR086W	1	YBR086C
YPR086W	1	YLR071C
YPR086W	1	YGL241W
YPR086W	1	YJR048W
YPR086W	1	YDR216W
YPR086W	1	YMR277W
YPR086W	1	YDL029W
YPR086W	1	YDL171C
YPR086W	1	YKL058W
YPR086W	1	YMR146C
YPR086W	1	YGL127C
YPR086W	1	YOR194C
YPR086W	1	YHR041C
YPR086W	1	YBL016W
YPR086W	1	YMR039C
YPR086W	1	YDR123C
YPR086W	1	YDR397C
YPR086W	1	YPL082C
YPR086W	1	YDR138W
YPR086W	1	YDL081C
YPR086W	1	YMR193W
YPR086W	1	YFR034C
YPR086W	1	YEL009C
YPR086W	1	YDR146C
YPR086W	1	YDR145W
YPR086W	1	YBR253W
YPR086W	1	YGR104C
YPR086W	1	YKR048C
YPR086W	1	YDR167W
YPR086W	1	YMR309C
YPR086W	1	YPR041W
YPR086W	1	YGL070C
YPR086W	1	YDR174W
YPR086W	1	YPR052C
YPR086W	1	YGR274C
YPR086W	1	YPR056W
YPR086W	1	YLR131C
YPR086W	1	YOR361C
YPR086W	1	YBR154C
YPR086W	1	YGR005C
YPR086W	1	YBR160W
YPR086W	1	YPR072W
YPR086W	1	YDR429C
YPR086W	1	YML010W
YPR086W	1	YPL248C
YLR015W	1	YML021C
YLR015W	1	YAL011W
YLR015W	1	YNL216W
YLR015W	1	YBR193C
YLR015W	1	YNL222W
YLR015W	1	YMR223W
YLR015W	1	YML032C
YLR015W	1	YER151C
YLR015W	1	YKL139W
YLR015W	1	YLR039C
YLR015W	1	YDL115C
YLR015W	1	YDL116W
YLR015W	1	YAL024C
YLR015W	1	YML041C
YLR015W	1	YLR182W
YLR015W	1	YMR236W
YLR015W	1	YPL138C
YLR015W	1	YHR119W
YLR015W	1	YNL107W
YLR015W	1	YKL018W
YLR015W	1	YLR052W
YLR015W	1	YDR469W
YLR015W	1	YAL043C
YLR015W	1	YMR112C
YLR015W	1	YER171W
YLR015W	1	YNL250W
YLR015W	1	YLR055C
YLR015W	1	YER177W
YLR015W	1	YLR418C
YLR015W	1	YDL140C
YLR015W	1	YBR088C
YLR015W	1	YDR334W
YLR015W	1	YDR335W
YLR015W	1	YLR421C
YLR015W	1	YDL005C
YLR015W	1	YLR429W
YLR015W	1	YDR485C
YLR015W	1	YMR272C
YLR015W	1	YHR007C
YLR015W	1	YDR359C
YLR015W	1	YHR013C
YLR015W	1	YNL273W
YLR015W	1	YOR174W
YLR015W	1	YLR085C
YLR015W	1	YPL174C
YLR015W	1	YLR087C
YLR015W	1	YPL042C
YLR015W	1	YNL153C
YLR015W	1	YML098W
YLR015W	1	YML094W
YLR015W	1	YAR003W
YLR015W	1	YLR320W
YLR015W	1	YER083C
YLR015W	1	YPL055C
YLR015W	1	YCR052W
YLR015W	1	YDR388W
YLR015W	1	YOR061W
YLR015W	1	YHR041C
YLR015W	1	YNL031C
YLR015W	1	YDR392W
YLR015W	1	YMR179W
YLR015W	1	YMR173W
YLR015W	1	YLR200W
YLR015W	1	YOR073W
YLR015W	1	YGL020C
YLR015W	1	YBR231C
YLR015W	1	YGL025C
YLR015W	1	YLR350W
YLR015W	1	YJL115W
YLR015W	1	YDR137W
YLR015W	1	YBR103W
YLR015W	1	YPR018W
YLR015W	1	YDR289C
YLR015W	1	YEL003W
YLR015W	1	YBR258C
YLR015W	1	YDR293C
YLR015W	1	YLR373C
YLR015W	1	YIR008C
YLR015W	1	YDL097C
YLR015W	1	YHR090C
YLR015W	1	YGL058W
YLR015W	1	YJL006C
YLR015W	1	YIL095W
YLR015W	1	YLR246W
YLR015W	1	YMR091C
YLR015W	1	YEL031W
YLR015W	1	YBR135W
YLR015W	1	YGL066W
YLR015W	1	YMR312W
YLR015W	1	YOL012C
YLR015W	1	YNL312W
YLR015W	1	YJL168C
YLR015W	1	YLR262C
YLR015W	1	YBR010W
YLR015W	1	YDR045C
YLR015W	1	YML128C
YLR015W	1	YHR200W
YLR015W	1	YJL179W
YLR015W	1	YER111C
YLR015W	1	YGR005C
YLR015W	1	YNL330C
YLR015W	1	YKR082W
YLR015W	1	YBR173C
YLR015W	1	YKL113C
YLR015W	1	YPL235W
YLR015W	1	YPL240C
YLR015W	1	YNR051C
YLR015W	1	YBR175W
YLR015W	1	YKL116C
YLR015W	1	YOR244W
YAL003W	1	YGL233W
YAL003W	1	YML064C
YAL003W	1	YPL048W
YAL003W	1	YKL081W
YAL003W	1	YHR064C
YAL003W	1	YBR118W
YAL003W	1	YLR249W
YAL003W	1	YDR170C
YAL003W	1	YEL034W
YAL003W	1	YGR285C
YAL003W	1	YPR080W
YPL106C	1	YAL005C
YPL106C	1	YPL106C
YPL106C	1	YDR303C
YPL106C	1	YML028W
YPL106C	1	YBR059C
YPL106C	1	YLR166C
YPL106C	1	YGL206C
YPL106C	1	YAL024C
YPL106C	1	YJR009C
YPL106C	1	YDR457W
YPL106C	1	YLR048W
YPL106C	1	YOL081W
YPL106C	1	YMR116C
YPL106C	1	YOR014W
YPL106C	1	YOR027W
YPL106C	1	YDL013W
YPL106C	1	YHR013C
YPL106C	1	YIL159W
YPL106C	1	YOR181W
YPL106C	1	YLR310C
YPL106C	1	YLR096W
YPL106C	1	YDL040C
YPL106C	1	YIL033C
YPL106C	1	YER083C
YPL106C	1	YDL188C
YPL106C	1	YDR113C
YPL106C	1	YDL055C
YPL106C	1	YGL020C
YPL106C	1	YBR101C
YPL106C	1	YFR037C
YPL106C	1	YLL024C
YPL106C	1	YGR234W
YPL106C	1	YPR016C
YPL106C	1	YNL064C
YPL106C	1	YDR510W
YPL106C	1	YDR168W
